,overall_score,style_score,city,land,country,beer_type,abv,brewery,beer_name,calories,average_rating,review_average,weighted_average,description,served_in
142,44,5.0,Bojanowo,Greater Poland,Poland,Stout - Imperial,9.5%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan RIS,285 cal per 355ml,3.30,3.20,3.17,"Sherry Russian Imperial Stout. Piwo dojrzewało przez 1465 dni, z czego ostatnie 100 dni wraz z płatkami dębowymi z beczek po Sherry.
Piwo pasteryzowane, niefiltrowane. Składniki: woda, słody: Pilzneński, Cararoma, Caramunich typ II, czekoladowy żytni, czekoladowy pszeniczny, pszeniczny; płatki dębowe Sherry Oloroso; chmiele: Marynka, Sybilla, Lubelski; drożdże: S04, T58; ekstrakt: 24,0º Blg.",Snifter
143,41,6.0,Bojanowo,Greater Poland,Poland,IIPA DIPA - Imperial / Double IPA,9.0%,Browar Bojanowo (Browary Regionalne Jakubiak),Quantum Brewing The Wave Function Australian Triple IPA,270 cal per 355ml,3.26,3.21,3.14,"Australian Triple IPA
22°; 9%…",Shaker
144,40,33.0,Bojanowo,Greater Poland,Poland,Pale Ale - American (APA),5.5%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Beergamot,165 cal per 355ml,3.19,3.15,3.11,"Bojan Beergamot - American Pale Ale z dodatkiem herbaty Earl Grey. Alk. 5,5% Ekstrakt 13% wag. Piwo pasteryzowane, niefiltrowane. Składniki: woda, słody: Pilzneński, Cookie, Pszeniczny, Carared, chmiele: Sorachi Ace, Enigma, Amarillo, Herbata Earl Grey Siciliana.",Lager glass
145,38,59.0,Bojanowo,Greater Poland,Poland,Stout - Flavored / Pastry,4.2%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Ciacho,126 cal per 355ml,3.13,3.12,3.10,"Ciemne czekoladowo-ciasteczkowe piwo, które pachnie ja świeżo wypieczone, domowe ciasto. Dzięki użyciu ciemnych słodów w smaku posiada dużo czekoladowych akcentów.…",
146,37,14.0,Bojanowo,Greater Poland,Poland,IPA - White,7.0%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan / Hino Brewing Mikoshi,210 cal per 355ml,3.13,3.14,3.09,"Wheat IPA 
z drzewem Hinoki
Ekstrakt 16% wag.…",
147,37,5.0,Bojanowo,Greater Poland,Poland,IPA - Black / Brown / Cascadian Dark,6.0%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan (Czarny) Black IPA,180 cal per 355ml,3.05,3.08,3.07,"14 blg. Ingredients: water, barley malt: Munich malt, Pale Ale malt, caramel malt; hops. Non-filtered",Shaker
148,36,28.0,Bojanowo,Greater Poland,Poland,Pale Ale - American (APA),5.0%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan APA,150 cal per 355ml,2.98,3.09,3.07,"Amerykańskie Jasne Ale. Orzeźwiające oraz wyraźnie chmielowe piwo z zaznaczoną kontrą słodową. Amerykańskie chmiele (w tym nowy chmiel Sabro) idealnie współgrają z gładkim i delikatny finiszem, który momentalnie gasi pragnienie. Hops: Lubelski (PL), Sabro (US), Citra (US).",Lager glass
149,35,6.0,Bojanowo,Greater Poland,Poland,IPA - Rye,5.5%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Maorys,165 cal per 355ml,3.10,3.06,3.06,"Bojan Maorys to niefiltrowane piwo typu żytnie IPA. Do jego stworzenia użyto 6 rodzajów słodu oraz 4 odmian chmielu: Magnum, Mosaic, Kohatu, Motueka.…",
150,34,6.0,Bojanowo,Greater Poland,Poland,Stout - Flavored / Pastry,4.2%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Marciński,126 cal per 355ml,3.25,3.11,3.06,"Pastry White Stout
W składzie m.in. miód wielokwiatowy, prażone orzechy migdałów, ekstrakt z wanilii, biały mak i rodzynki.",
151,31,18.0,Bojanowo,Greater Poland,Poland,Smoked - Rauchbier,6.5%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Koźlak Wędzony Z Jałowcem,195 cal per 355ml,2.97,3.04,3.01,,Dimpled mug
152,31,5.0,Bojanowo,Greater Poland,Poland,Stout - Flavored / Pastry,5.0%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Muscovado,150 cal per 355ml,3.10,3.01,3.00,"Piwo z gatunku Stout, uszlachetnione dodatkiem kakao oraz cukru z trzciny cukrowej nazywanego ""Muscovado"" lub inaczej ""cukrem z Barbadosu"". Aromat palonej kawy jak i czarny kolor Bojan Muscovado zawdziecza kombinacji ciemnych slodów. Cala kompozycja aromatów budzi skojarzenia plynnej czekolady która, przeplata sie z kawa, owocami oraz chmielem.…",
153,29,9.0,Bojanowo,Greater Poland,Poland,IPA,5.5%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan ŻIPA,165 cal per 355ml,3.05,3.01,2.99,,Shaker
154,28,2.0,Bojanowo,Greater Poland,Poland,IIPA DIPA - Imperial / Double IPA,9.0%,Browar Bojanowo (Browary Regionalne Jakubiak),Quantum Brewing Energy Fields New Zealand Triple IPA,270 cal per 355ml,3.22,3.00,2.98,"Składniki: woda, słód jęczmienny pilzneński, słód pszeniczny, chmiele: Rakau, Pacifica, Riwaka, drożdże.

Quantum Brewing: Energy Fields New Zaland Triple Ipa",Shaker
156,23,82.0,Bojanowo,Greater Poland,Poland,Pale Lager - International / Premium,6.0%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Toporek,180 cal per 355ml,2.82,2.90,2.90,"Bojan Toporek to piwo dedykowane Polskim Strażakom. Piwo typu lager, niefiltrowane.…",Lager glass
157,21,13.0,Bojanowo,Greater Poland,Poland,Belgian Ale - Dark / Amber,9.5%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Sernik Marakuja,285 cal per 355ml,2.95,2.86,2.88,,
158,19,27.0,Bojanowo,Greater Poland,Poland,Weissbier - Hefeweizen,4.2%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Pszeniczne,126 cal per 355ml,2.81,2.83,2.84,Ekstrakt 12% wag.,Weizen
159,19,77.0,Bojanowo,Greater Poland,Poland,Pale Lager - International / Premium,5.0%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Strażackie,150 cal per 355ml,2.85,2.85,2.85,"Bojan Strażackie to jest piwem typu lager niefiltrowany.
Zawiera 5,0% alkoholu obj., ekstrakt 11,0% wag.…",Lager glass
160,18,75.0,Bojanowo,Greater Poland,Poland,Pale Lager - International / Premium,4.8%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojanowo Karkonosz,144 cal per 355ml,2.87,2.81,2.83,12.1 BLG,Lager glass
161,16,4.0,Bojanowo,Greater Poland,Poland,Stout - Extra / Foreign / Tropical,6.2%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojanowo Tropical Stout,186 cal per 355ml,2.71,2.75,2.79,"Ekstrakt 15,1% wag.
Chmiel: Magnum…",English pint
162,16,0.0,Bojanowo,Greater Poland,Poland,IIPA DIPA - Imperial / Double IPA,7.5%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Double AIPA,225 cal per 355ml,2.94,2.72,2.78,"Piwo pasteryzowane, niefiltrowane.
Składniki: woda, słody (jęczmienny pilzneński, pszeniczny, Cookie), chmiel (Chinook, Citra, Amarillo, Cascade), drożdże górnej fermentacji (US-05)",Shaker
163,15,5.0,Bojanowo,Greater Poland,Poland,Pale Ale - American (APA),4.5%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan ZAPA,135 cal per 355ml,2.83,2.70,2.76,"12,1°; 4,5%
Piwo pasteryzowane, niefiltrowane, moze zawierac naturalny osad drozdzowo-chmielowy.
Skladniki: woda, slód jeczmienny, pilznenski, pszeniczny, chmiele: Lubelski, Sabro, Citra, drozdze górnej fermentacji US-05.",Lager glass
164,13,31.0,Bojanowo,Greater Poland,Poland,Flavored - Fruit,4.5%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Malinowe,135 cal per 355ml,2.80,2.66,2.72,"Piwo o smaku malinowym z dodatkiem żurawiny / Raspberry flavoured beer with cranberry addition, 15°Blg",Flute
165,11,21.0,Bojanowo,Greater Poland,Poland,Pilsener - Bohemian / Czech,4.5%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Dziesiątka,135 cal per 355ml,2.59,2.58,2.63,BLG 10. Tradycyjna czeska receptura.,Dimpled mug
166,10,0.0,Bojanowo,Greater Poland,Poland,Flavored - Pumpkin / Vegetables,4.5%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Pumpkin Ale,135 cal per 355ml,2.38,2.38,2.54,13 Blg,
167,9,25.0,Bojanowo,Greater Poland,Poland,Pilsener / Pils / Pilsner,5.0%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Pils,150 cal per 355ml,2.61,2.49,2.58,,Flute
168,9,83.0,Bojanowo,Greater Poland,Poland,Pale Lager - American,5.5%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Złoty Smok,165 cal per 355ml,2.20,2.29,2.40,"Bojan Złoty Smok to lager, jasne piwo dolnej fermentacji z dodatkiem ryżu. Piwo zawiera 12,5% wag. ekstraktu oraz alkohol 5,5% obj. Jest to piwo klarowne o jasnozłotej barwie. W jego lekkim i rześkim aromacie odnajdziemy głównie nuty słodowe oraz ryżowe dla których przyjemnym tłem są delikatne owocowo-kwiatowe aromaty.",Dimpled mug
169,8,17.0,Bojanowo,Greater Poland,Poland,Flavored - Fruit,5.0%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Mango,150 cal per 355ml,2.64,2.44,2.50,,Flute
170,7,81.0,Bojanowo,Greater Poland,Poland,Pale Lager - American,4.7%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Fajrant,141 cal per 355ml,2.39,2.41,2.46,"Bojan Fajrant to jasny lager, zawiera 4,7% alkoholu obj., ekstrakt 11,0%. Kolor ciemnozłoty.…",Dimpled mug
171,7,45.0,Bojanowo,Greater Poland,Poland,Pale Lager - International / Premium,4.8%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Tradycyjne,144 cal per 355ml,2.52,2.43,2.47,12.1 Blg,Lager glass
172,7,1.0,Bojanowo,Greater Poland,Poland,Pale Ale - American (APA),5.0%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan / Hino Brewing Hikiyama,150 cal per 355ml,2.36,2.28,2.45,,Lager glass
173,6,41.0,Bojanowo,Greater Poland,Poland,Pale Lager - International / Premium,5.0%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Wielkopolskie,150 cal per 355ml,2.32,2.35,2.39,Piwo jasne pełne typu Lager. 12.1°,Lager glass
174,4,0.0,Bojanowo,Greater Poland,Poland,Pale Ale - American (APA),4.0%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojanowo Somero,120 cal per 355ml,2.19,2.17,2.23,,Lager glass
175,4,7.0,Bojanowo,Greater Poland,Poland,Flavored - Other,5.0%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Kokosowe,150 cal per 355ml,2.40,2.21,2.24,"PIWO JASNE O SMAKU KOKOSOWYM Z BROWARU W BOJANOWIE
BOJAN Kokosowe to jasne piwo, zawiera 5,0% alkoholu obj., ekstrakt 14,0%.…",Lager glass
176,4,6.0,Bojanowo,Greater Poland,Poland,Pilsener / Pils / Pilsner,4.2%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Szwejk,126 cal per 355ml,2.11,2.15,2.18,"Szwejk to piwo typu pils, jest niefiltrowane i zawiera 4,7% alk. obj. oraz 11% ekstr. wag.…",Flute
177,3,4.0,Bojanowo,Greater Poland,Poland,Flavored - Other,10.0%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Zombiak,300 cal per 355ml,1.68,1.72,2.07,,Lager glass
178,3,5.0,Bojanowo,Greater Poland,Poland,Flavored - Fruit,4.0%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Gruszkowe,120 cal per 355ml,2.02,1.89,2.07,Pear flavoured beer - 13.8 Blg…,Flute
234,95,81.0,Czarnków,Greater Poland,Poland,Porter - Imperial,8.3%,Browar Czarnków,Konstancin Porter,249 cal per 355ml,3.63,3.79,3.70,"Konstancin Porter- edycja limitowana. Porter ma ciemnobrązową barwę, pełny smak ze śliwkowymi i czekoladowymi akcentami. Puszysta piana połączona z aksamitną teksturą piwa nie pozwala o sobie zapomnieć.
24P",Shaker
235,89,47.0,Czarnków,Greater Poland,Poland,IPA - Hazy / New England (NEIPA),6.0%,Browar Czarnków,Konstancin New England IPA,180 cal per 355ml,3.91,3.73,3.54,BLG: 14.1°,Shaker
236,74,20.0,Poznań,Greater Poland,Poland,Stout - Imperial,9.0%,Browar Golem,Golem Lilith Bourbon Barrel Aged - ET/OF,270 cal per 355ml,3.67,3.53,3.41,Golem Lilith Bourbon Barrel Aged - ET/OF,Snifter
237,49,49.0,Wrocław,Lower Silesian,Poland,Pale Ale - American (APA),5.2%,Doctor Brew,Doctor Brew Hoppy Queen,156 cal per 355ml,3.34,3.27,3.26,"Uwolnij opętańczy aromat kompozycji 21 chmieli prosto z samego serca Ameryki, Europy, Australii i Nowej Zelandii. Nurkuj w doskonałym balansie pomiędzy szlachetną goryczką a przyjemną słodowością, a potem wróc tu gdzie jesteś.…",Lager glass
238,47,28.0,Czarnków,Greater Poland,Poland,Stout - Milk / Sweet,6.2%,Browar Czarnków,Konstancin Milk Stout Owsiany,186 cal per 355ml,3.11,3.23,3.20,"Konstancin Milk Stout Owsiany - edycja limitowana. Ciene gęste piwo typu milk stout. Urzeka aksamitną fakturą, kremową pianą i delikatnie zarysowaną goryczką. Charakteru nadają mu wyraźnie wyczuwalne nuty czekoladowe oraz aromat palonego ziarna, uzyskany dzięki unikalnej kompozycji ciemnych słodów i palonego jęczmienia.",English pint
239,46,45.0,Wysogotowo,Greater Poland,Poland,Pale Ale - American (APA),6.0%,Browar Za Miastem,Za Miastem Własne Sprawy,180 cal per 355ml,3.20,3.23,3.21,"13,6% BLG, 6,0% ABV, IBU 45",Lager glass
240,42,29.0,Czarnków,Greater Poland,Poland,ISA - Session IPA,5.6%,Browar Czarnków,Konstancin Session West Coast IPA,168 cal per 355ml,3.40,3.20,3.13,Receptura: Artur Karpiński…,English pint
241,40,71.0,Czarnków,Greater Poland,Poland,Blonde Ale / Golden Ale,4.2%,Browar Czarnków,Konstancin Lekkie,126 cal per 355ml,3.30,3.15,3.11,Piwo inspirowane recepturą z Browaru Konstancin.…,English pint
242,39,12.0,Czarnków,Greater Poland,Poland,IPA - Flavored,6.3%,Browar Czarnków,Konstancin Cranberry IPA,189 cal per 355ml,3.34,3.14,3.11,15.5 Blg,
243,37,19.0,Czarnków,Greater Poland,Poland,Specialty Grain - Rye / Roggenbier,5.3%,Browar Czarnków,Konstancin Żytnie,159 cal per 355ml,3.07,3.10,3.09,"Pierwsze w Polsce piwo warzone ze słodu żytniego. Esencjonalne i pełne w smaku, z delikatnie zarysowaną chmielową goryczką. Wykorzystanie drożdży górnej fermentacji nadaje mu subtelnej nuty orzeźwienia. Drożdżowy osad na dnie butelki jest zjawiskiem prawidłowym i charakterystycznym dla tego gatunku.…",
244,36,47.0,Czarnków,Greater Poland,Poland,Bock - Dunkler Bock,6.0%,Browar Czarnków,Noteckie Koźlak Wielkopolski,180 cal per 355ml,2.93,3.11,3.07,Słody Wielkopolskie…,Dimpled mug
245,34,27.0,Czarnków,Greater Poland,Poland,Pale Ale - American (APA),5.6%,Browar Czarnków,Konstancin APA,168 cal per 355ml,3.14,3.07,3.06,12.5 Blg,Lager glass
246,34,10.0,Czarnków,Greater Poland,Poland,Saison / Farmhouse / Grisette,6.3%,Browar Czarnków,Konstancin Saison,189 cal per 355ml,3.17,3.04,3.03,"Classic Saison with bitter orange peel 15,5% plato. Recipe by Dorota Chrapek.…",Tulip
247,26,8.0,Czarnków,Greater Poland,Poland,IPA,6.2%,Browar Czarnków,Konstancin IPA,186 cal per 355ml,3.02,2.96,2.96,"India Pale Ale chmielone amerykańskimi odmianami Citra, Mosaic, Chinook. Ekstrakt 16,5 BLG. Edycje limitowana.",Shaker
248,20,8.0,Czarnków,Greater Poland,Poland,Dubbel,6.3%,Browar Czarnków,Konstancin Dubbel,189 cal per 355ml,2.76,2.82,2.84,"To niezwykle aromatyczne, dość ciemne piwo zawdzięczamy belgijskim mnichom. Podobne piwa były warzone w przyklasztornych browarach już w średniowieczu.…",Trappist glass
249,20,45.0,Czarnków,Greater Poland,Poland,Helles / Dortmunder Export,5.6%,Browar Czarnków,Noteckie Niskopasteryzowane,168 cal per 355ml,2.86,2.84,2.85,,Lager glass
250,19,24.0,Czarnków,Greater Poland,Poland,Witbier / Belgian White Ale,5.3%,Browar Czarnków,Konstancin Witbier,159 cal per 355ml,3.06,2.82,2.84,12.1 Blg,Tumbler
251,19,26.0,Czarnków,Greater Poland,Poland,Weissbier - Hefeweizen,5.3%,Browar Czarnków,Konstancin Pszeniczne / Pszeniczny,159 cal per 355ml,2.84,2.84,2.84,Treściwe piwo na bazie słodów pszenicznych i jęczmiennych. Drożdże górnej fermentacji nadają mu orzeźwiającej kwaskowatości i podkreślają charakterystyczne cytrynowo-bananowe nuty. Drożdżowy osad na dnie butelki jest zjawiskiem prawidłowym i charakterystycznym dla tego gatunku.…,Weizen
252,17,19.0,Czarnków,Greater Poland,Poland,Zwickelbier / Kellerbier / Landbier,5.6%,Browar Czarnków,Noteckie Niefiltrowane,168 cal per 355ml,2.88,2.76,2.79,"Piwo jasne, pasteryzowane, niefiltrowane. Skład: woda, słód jęczmienny, chmiel, drożdże. Najlepiej smakuje w temperaturze 10°C. Jest naturalne mętne.
12,1°",Dimpled mug
253,15,93.0,Czarnków,Greater Poland,Poland,Pale Lager - American,5.3%,Browar Czarnków,Konstancin Z Dębowej Beczki,159 cal per 355ml,2.71,2.73,2.74,"Jasne piwo o niepowtarzalnym smaku. Charakterystyczna goryczka złagodzona została podczas leżakowania w kadziach z dodatkiem płatków dębu. Wyróżniającym akcentem jest kwiatowo-słodowy aromat, nadający temu piwu wyjątkowego charakteru.…",Dimpled mug
254,14,64.0,Czarnków,Greater Poland,Poland,Pale Lager - International / Premium,5.3%,Browar Czarnków,Konstancin Dawne,159 cal per 355ml,2.83,2.69,2.72,"Przyjemne w smaku, delikatne piwo jasne. Wśród aromatów zdecydowanie wyróżniają się nuty słodowe, a subtelne nuty chmielowe stanowią o jego niepowtarzalności. Doskonale sprawdza się przy każdej okazji. Piwo jasne pasteryzowane, alk. 5,3% obj., ekstrakt 12,5°Blg. Sybilla & Magnum.",Lager glass
255,13,21.0,Czarnków,Greater Poland,Poland,Dark Lager - Dunkel / Tmavý,5.6%,Browar Czarnków,Noteckie Ciemne Eire,168 cal per 355ml,2.82,2.72,2.72,,Dimpled mug
256,12,33.0,Czarnków,Greater Poland,Poland,Pilsener / Pils / Pilsner,4.2%,Browar Czarnków,Noteckie Pils,126 cal per 355ml,2.72,2.68,2.70,Browar Czarnków poszerzył swój asortyment rodziny Piw Noteckich o kolejny gatunek.…,Flute
257,12,20.0,Czarnków,Greater Poland,Poland,Flavored - Other,5.6%,Browar Czarnków,Noteckie na Miodzie Lipowym,168 cal per 355ml,2.63,2.58,2.65,"14,1°",Lager glass
258,12,11.0,Czarnków,Greater Poland,Poland,Schwarzbier / Black Lager,5.6%,Browar Czarnków,Noteckie Bursztynowe Trójsłodowe,168 cal per 355ml,2.73,2.66,2.69,"Piwo ciemne, dolnej fermentacji, powstale ze scisle wywazonych.",Dimpled mug
259,12,22.0,Czarnków,Greater Poland,Poland,Flavored - Other,5.6%,Browar Czarnków,Gniewosz Korzenne,168 cal per 355ml,2.61,2.66,2.69,"Piwo Gniewosz o smaku korzennym zostało przygotowane jako autorski projekt piwowarów Browaru Czarnków inspirowany recepturami Marcina z Urzędowa. Żyjący w XVI wieku Marcin z Urzędowa, lekarz, zielarz wydał w 1595 roku „Herbarz Polski” – dzieło przyrodniczo-lecznicze uważane za pierwszy podręcznik farmakognozji. Według jego zapisów, grzany napój wzbogacono o owoce z…",Lager glass
260,12,17.0,Czarnków,Greater Poland,Poland,Dark Lager - Dunkel / Tmavý,6.2%,Browar Czarnków,Czarnków Walonskie,186 cal per 355ml,2.75,2.59,2.67,14.1P,Dimpled mug
261,11,87.0,Czarnków,Greater Poland,Poland,Low / No Alcohol Beer - Pale,0.5%,Browar Czarnków,Noteckie Bezalkoholowe,15 cal per 355ml,2.58,2.49,2.61,,English pint
262,11,20.0,Czarnków,Greater Poland,Poland,Helles / Dortmunder Export,5.6%,Browar Czarnków,Noteckie Jasne Pełne,168 cal per 355ml,2.64,2.66,2.67,"Piwo jasne pełne o wspaniałym chmielowym i delikatnie słodowym aromacie. Niezwykle bogaty smak, szlachetna, wyważona goryczka z idealnie dobranymi nutami słodowymi i lekkim akcentem owocowym.…",Lager glass
263,11,21.0,Czarnków,Greater Poland,Poland,Flavored - Other,5.6%,Browar Czarnków,Gniewosz Na Miodzie Akacjowym,168 cal per 355ml,2.67,2.63,2.66,"Piwo Gniewosz na miodzie akacjowym zostało przygotowane we współpracy z mistrzem pszczelarskim Ireneuszem Gołaskim oraz jego pasieką Republika Miodu. Pasieka leży w malowniczej Puszczy Noteckiej w zachodniej Wielkopolsce. Ma charakter wędrowny, czego efektem jest czysty i pełnowartościowy miód z terenów nieskażonych przemysłem.…",Lager glass
264,7,1.0,Czarnków,Greater Poland,Poland,Pale Lager - Hoppy / India (IPL),5.6%,Browar Czarnków,Konstancin American Lager,168 cal per 355ml,2.43,2.32,2.38,"Nasz American lager łączy tradycję i nowoczesność - w zasypie słód pilzneński łączy się ze słodem żytnim, w chmieleniu tradycyjny chmiel Saaz łączy się z amerykańską odmianą Columbus. Nowofalowy lager fermentowany w otwartych kadziach. Tak smakują przeciwieństwa. Zaskakująco dobrze.…",Dimpled mug
265,5,21.0,Czarnków,Greater Poland,Poland,Pale Lager - International / Premium,5.6%,Browar Czarnków,Noteckie Jubileuszowe 1893,168 cal per 355ml,2.11,2.03,2.27,12.1 Blg,Lager glass
290,100,99.0,Miłosław,Greater Poland,Poland,Bock - Eisbock,18.0%,Browar Fortuna,Fortuna Komes Wymrazany Russian Imperial Stout Bourbon BA,540 cal per 355ml,4.38,4.35,4.14,"Wymrażany Komes Russian Imperial Stout Bourbon Barrel Aged.

Leżakowany przez ponad 9 miesięcy w beczkach po bourbonach Four Roses oraz Woodford Reserve (w tym Double Oak).",Dimpled mug
291,100,100.0,Miłosław,Greater Poland,Poland,Bock - Eisbock,20.0%,Browar Fortuna,Fortuna Komes Wymrażany Barley Wine Cognac BA,600 cal per 355ml,4.34,4.28,4.16,"Iced barley wine matured for almost 12 months in ex-cognac finishing barrels. 
20% ABV, 46% extract by weight",Dimpled mug
292,100,99.0,Miłosław,Greater Poland,Poland,Bock - Eisbock,20.0%,Browar Fortuna,Fortuna Komes Wymrażany Porter Bałtycki Glen Moray Whisky Barrel Aged,600 cal per 355ml,4.36,4.35,4.04,"Styl: Ice Baltic Porter Glen Moray Whisky Barrel Aged
ABV: 20,0%
BLG: 47,0%…",Dimpled mug
293,100,99.0,Miłosław,Greater Poland,Poland,Bock - Eisbock,15.0%,Browar Fortuna,Fortuna Komes Wymrażany Porter Bałtycki Jack Daniel's Barrel Aged,450 cal per 355ml,4.25,4.22,4.02,"Esencja naszego porteru nagradzanego m.in. na konkursach World Beer Cup i European Beer Star.

Dzięki wymrażaniu wzmocniliśmy znacznie czekoladowo-kawowy profil piwa oraz, pojawiające się w czasie leżakowania, nuty suszu…",Dimpled mug
294,100,99.0,Miłosław,Greater Poland,Poland,Barley Wine / Wheat Wine / Rye Wine,13.1%,Browar Fortuna,Fortuna Fortunatus I: Wild Barley Wine BA,393 cal per 355ml,4.16,4.07,3.99,"Brewed in 2017. Aged im Château Kirwan (AOC Margaux) barrels for 436 days. Each barrel held three vintages of wine (2012, 2014, 2016) for 18 months. Wine must contained mainly Cabernet Sauvignon cultivar, with small amounts of Merlot, Cabernet-franc and Petit Verdot.…",Snifter
295,98,96.0,Miłosław,Greater Poland,Poland,Porter - Baltic,9.0%,Browar Fortuna,Fortuna Komes Porter Bałtycki Płatki Dębowe,270 cal per 355ml,3.92,3.86,3.84,21 Blg…,English pint
