,overall_score,style_score,city,land,country,beer_type,abv,brewery,beer_name,calories,average_rating,review_average,weighted_average,description,served_in
97,46,43.0,JastrzębieZdrój,Silesian,Poland,Tripel,7.3%,Browar Jastrzębie,Jastrzębie Jastrzębski Tripel,219 cal per 355ml,3.25,3.29,3.20,18 BLG. Belgian Tripel Cognac Oak Aged,Trappist glass
98,43,90.0,Wrocław,Lower Silesian,Poland,Amber Lager - International / Vienna,4.9%,Doctor Brew,Doctor Brew Yellow Bourbon,147 cal per 355ml,3.22,3.16,3.13,Coffee Milk Dark Lager - 12 Blg…,Dimpled mug
99,41,39.0,Poznań,Greater Poland,Poland,Dubbel,6.8%,Browar Szalpiw,Szałpiw Rojber,204 cal per 355ml,3.29,3.20,3.12,,Trappist glass
100,39,66.0,Wrocław,Lower Silesian,Poland,Flavored - Fruit,10.0%,Doctor Brew,Doctor Brew Saxy Berry Black Currant,300 cal per 355ml,3.12,3.11,3.11,24° Plato,Flute
101,39,18.0,Wrocław,Lower Silesian,Poland,IPA,6.2%,Doctor Brew,Doctor Brew Lemon Drop IPA,186 cal per 355ml,3.08,3.11,3.10,,Shaker
102,35,2.0,Wrocław,Lower Silesian,Poland,IPA - Milkshake / Smoothie,5.7%,Doctor Brew,Doctor Brew Raspberry Milkshake IPA,171 cal per 355ml,3.26,3.05,3.03,14.5 Blg,
103,35,13.0,Wrocław,Lower Silesian,Poland,IPA,5.6%,Doctor Brew,Doctor Brew Target IPA,168 cal per 355ml,3.20,3.06,3.05,"Zatrzymaj się na chwilę.
Weź głęboki oddech - swobodnie, naturalnie.…",Shaker
104,33,9.0,JastrzębieZdrój,Silesian,Poland,Old Ale,9.0%,Browar Jastrzębie,Jastrzębie Jastrzębski Old Ale Bourbon Oak Aged,270 cal per 355ml,2.81,3.03,3.01,"Przedstawiamy Wam naszą wersję tradycyjnego ,mocnego, angielskiego Old Ale.
Wyspiarski styl, który należy do rodziny Strong Ale, zawierający mieszankę smaków słodowych, karmelowych i czekoladowych. Nuty…",English pint
105,31,44.0,Wrocław,Lower Silesian,Poland,Flavored - Other,7.5%,Doctor Brew,Doctor Brew X-Rye,225 cal per 355ml,3.05,2.99,2.99,"¯yczê Tobie, aby to czego do¶wiadczasz w te ¶wiêta przypomina³o ci o chwilach, dla których warto ¿yæ. 
Poczuj jak wspaniale jest spêdzaæ ¶wiêta z tymi, których kochasz. Pozwól tym chwilom trwaæ i do¶wiadczaj ich bêd±c tu i teraz. ¯yc…",Lager glass
106,31,8.0,Wrocław,Lower Silesian,Poland,IPA,5.6%,Doctor Brew,Doctor Brew Wakatu Single Hop IPA,168 cal per 355ml,3.06,2.97,2.96,14.5 Blg,Shaker
